time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526083457222,2018-05-12T00:04:17.221999Z,1015.2122930697795,-64,368,944,2935,33,1023.69,23.65,C2:9A:9F:E5:58:27
1526083462685,2018-05-12T00:04:22.684999Z,1030.5493680556988,-72,388,952,2947,33,1023.67,23.66,C2:9A:9F:E5:58:27
1526083468226,2018-05-12T00:04:28.226000Z,1020.4469608950776,-76,380,944,2947,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083473806,2018-05-12T00:04:33.805999Z,1018.1394796392093,-64,376,944,2953,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083479216,2018-05-12T00:04:39.216000Z,1029.531932481941,-68,376,956,2953,33,1023.6,23.65,C2:9A:9F:E5:58:27
1526083484376,2018-05-12T00:04:44.375999Z,1019.6234599105692,-64,380,944,2959,33,1023.6,23.65,C2:9A:9F:E5:58:27
1526083489926,2018-05-12T00:04:49.926000Z,1024.3593119604077,-68,372,952,2941,33,1023.66,23.65,C2:9A:9F:E5:58:27
1526083495226,2018-05-12T00:04:55.226000Z,1023.3279044372825,-64,380,948,2947,33,1023.58,23.65,C2:9A:9F:E5:58:27
1526083500506,2018-05-12T00:05:00.506000Z,1018.1394796392093,-64,376,944,2947,33,1023.59,23.66,C2:9A:9F:E5:58:27
1526083506085,2018-05-12T00:05:06.085000Z,1019.882346155673,-68,380,944,2947,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083511225,2018-05-12T00:05:11.224999Z,1025.818697431471,-68,376,952,2947,33,1023.65,23.65,C2:9A:9F:E5:58:27
1526083516205,2018-05-12T00:05:16.204999Z,1018.1394796392093,-64,376,944,2947,33,1023.62,23.66,C2:9A:9F:E5:58:27
1526083521184,2018-05-12T00:05:21.184000Z,1023.1637210143839,-72,388,944,2935,33,1023.6,23.66,C2:9A:9F:E5:58:27
1526083526766,2018-05-12T00:05:26.766000Z,1022.1076264268846,-68,376,948,2947,32.5,1023.67,23.66,C2:9A:9F:E5:58:27
1526083532229,2018-05-12T00:05:32.229000Z,1023.0855291714373,-60,380,948,2947,33,1023.59,23.66,C2:9A:9F:E5:58:27
1526083537882,2018-05-12T00:05:37.881999Z,1016.6690710354083,-64,372,944,2953,33,1023.66,23.67,C2:9A:9F:E5:58:27
1526083543236,2018-05-12T00:05:43.236000Z,1030.9995150338336,-68,380,956,2935,33,1023.6,23.65,C2:9A:9F:E5:58:27
1526083548476,2018-05-12T00:05:48.476000Z,1013.7692045036681,-64,364,944,2941,33,1023.64,23.66,C2:9A:9F:E5:58:27
1526083554031,2018-05-12T00:05:54.030999Z,1018.1394796392093,-64,376,944,2935,33,1023.68,23.65,C2:9A:9F:E5:58:27
1526083559206,2018-05-12T00:05:59.206000Z,1018.3987431256973,-68,376,944,2947,33,1023.66,23.65,C2:9A:9F:E5:58:27
1526083565142,2018-05-12T00:06:05.141999Z,1034.9801930471906,-72,380,960,2947,33,1023.66,23.65,C2:9A:9F:E5:58:27
1526083570206,2018-05-12T00:06:10.206000Z,1022.1076264268846,-68,376,948,2935,33,1023.69,23.65,C2:9A:9F:E5:58:27
1526083575756,2018-05-12T00:06:15.756000Z,1022.3815334795519,-72,376,948,2947,32.5,1023.62,23.65,C2:9A:9F:E5:58:27
1526083581209,2018-05-12T00:06:21.209000Z,1016.9287093990414,-68,372,944,2941,32.5,1023.68,23.65,C2:9A:9F:E5:58:27
1526083586326,2018-05-12T00:06:26.325999Z,1031.5580449010129,-76,380,956,2953,33,1023.61,23.66,C2:9A:9F:E5:58:27
1526083591385,2018-05-12T00:06:31.384999Z,1016.45659031756,-72,380,940,2947,33,1023.74,23.65,C2:9A:9F:E5:58:27
1526083597211,2018-05-12T00:06:37.210999Z,1025.225828781152,-80,372,952,2947,32.5,1023.68,23.65,C2:9A:9F:E5:58:27
1526083602475,2018-05-12T00:06:42.474999Z,1022.1076264268846,-68,376,948,2941,32.5,1023.6,23.65,C2:9A:9F:E5:58:27
1526083608226,2018-05-12T00:06:48.226000Z,1018.1394796392093,-64,376,944,2947,32.5,1023.7,23.65,C2:9A:9F:E5:58:27
1526083613586,2018-05-12T00:06:53.585999Z,1025.0775580413415,-68,384,948,2935,32.5,1023.67,23.64,C2:9A:9F:E5:58:27
1526083619142,2018-05-12T00:06:59.141999Z,1018.6736474455398,-72,376,944,2941,32.5,1023.72,23.64,C2:9A:9F:E5:58:27
1526083624225,2018-05-12T00:07:04.224999Z,1020.3842413522467,-64,372,948,2947,32.5,1023.67,23.64,C2:9A:9F:E5:58:27
1526083629245,2018-05-12T00:07:09.244999Z,1025.0775580413415,-68,384,948,2935,32.5,1023.64,23.64,C2:9A:9F:E5:58:27
1526083634275,2018-05-12T00:07:14.275000Z,1020.9172346473538,-72,372,948,2941,32.5,1023.66,23.64,C2:9A:9F:E5:58:27
1526083639345,2018-05-12T00:07:19.345000Z,1024.3593119604077,-68,372,952,2935,32.5,1023.67,23.64,C2:9A:9F:E5:58:27
1526083644855,2018-05-12T00:07:24.855000Z,1019.6234599105692,-64,380,944,2947,32.5,1023.63,23.64,C2:9A:9F:E5:58:27
1526083650226,2018-05-12T00:07:30.226000Z,1019.6234599105692,-64,380,944,2935,32.5,1023.68,23.65,C2:9A:9F:E5:58:27
1526083655996,2018-05-12T00:07:35.996000Z,1016.6690710354083,-64,372,944,2947,33,1023.66,23.65,C2:9A:9F:E5:58:27
1526083661225,2018-05-12T00:07:41.224999Z,1016.1810862243009,-68,380,940,2947,32.5,1023.7,23.64,C2:9A:9F:E5:58:27
